CountyName,date,home_value,index_jan2020_100,county_short
Arlington County,2019-01-31,644443.6774405169,92.76,Arlington
Arlington County,2019-02-28,650002.6436323929,93.56,Arlington
Arlington County,2019-03-31,657046.6042106721,94.57,Arlington
Arlington County,2019-04-30,663213.1695875584,95.46,Arlington
Arlington County,2019-05-31,667820.4734269021,96.12,Arlington
Arlington County,2019-06-30,670477.8773906166,96.51,Arlington
Arlington County,2019-07-31,672148.3906912582,96.75,Arlington
Arlington County,2019-08-31,675326.3772388479,97.2,Arlington
Arlington County,2019-09-30,679028.0657032509,97.74,Arlington
Arlington County,2019-10-31,683190.6223039064,98.34,Arlington
Arlington County,2019-11-30,686625.272647009,98.83,Arlington
Arlington County,2019-12-31,690231.1233774392,99.35,Arlington
Arlington County,2020-01-31,694751.9473262148,100.0,Arlington
Arlington County,2020-02-29,700761.4716539845,100.86,Arlington
Arlington County,2020-03-31,707525.2212268783,101.84,Arlington
Arlington County,2020-04-30,713295.5669261117,102.67,Arlington
Arlington County,2020-05-31,714893.5727936318,102.9,Arlington
Arlington County,2020-06-30,713076.4251382332,102.64,Arlington
Arlington County,2020-07-31,710293.1310969158,102.24,Arlington
Arlington County,2020-08-31,710255.0770886118,102.23,Arlington
Arlington County,2020-09-30,714215.2818709717,102.8,Arlington
Arlington County,2020-10-31,720188.9346113078,103.66,Arlington
Arlington County,2020-11-30,727261.6498802587,104.68,Arlington
Arlington County,2020-12-31,733077.6497691836,105.52,Arlington
Arlington County,2021-01-31,737539.8562938183,106.16,Arlington
Arlington County,2021-02-28,741512.1724060043,106.73,Arlington
Arlington County,2021-03-31,746131.1530471237,107.4,Arlington
Arlington County,2021-04-30,751483.7438642641,108.17,Arlington
Arlington County,2021-05-31,756163.467943887,108.84,Arlington
Arlington County,2021-06-30,758223.7812815399,109.14,Arlington
Arlington County,2021-07-31,755816.5704605001,108.79,Arlington
Arlington County,2021-08-31,750743.3689732602,108.06,Arlington
Arlington County,2021-09-30,744792.4663566395,107.2,Arlington
Arlington County,2021-10-31,741510.2736378924,106.73,Arlington
Arlington County,2021-11-30,740643.7430737476,106.61,Arlington
Arlington County,2021-12-31,742506.6359192728,106.87,Arlington
Arlington County,2022-01-31,747690.5035768392,107.62,Arlington
Arlington County,2022-02-28,755614.5777150415,108.76,Arlington
Arlington County,2022-03-31,767151.114873729,110.42,Arlington
Arlington County,2022-04-30,778032.0984374987,111.99,Arlington
Arlington County,2022-05-31,786494.6493244655,113.21,Arlington
Arlington County,2022-06-30,789434.5251224834,113.63,Arlington
Arlington County,2022-07-31,786343.1238414693,113.18,Arlington
Arlington County,2022-08-31,778567.4432133555,112.06,Arlington
Arlington County,2022-09-30,768513.0040559301,110.62,Arlington
Arlington County,2022-10-31,761265.9632946085,109.57,Arlington
Arlington County,2022-11-30,756999.2646823397,108.96,Arlington
Arlington County,2022-12-31,754788.7958574049,108.64,Arlington
Arlington County,2023-01-31,753298.3773191343,108.43,Arlington
Arlington County,2023-02-28,753698.1442379954,108.48,Arlington
Arlington County,2023-03-31,754854.0921031369,108.65,Arlington
Arlington County,2023-04-30,758837.5676655637,109.22,Arlington
Arlington County,2023-05-31,762915.0866621073,109.81,Arlington
Arlington County,2023-06-30,768422.1791023021,110.6,Arlington
Arlington County,2023-07-31,772184.6601887015,111.15,Arlington
Arlington County,2023-08-31,774554.3518578528,111.49,Arlington
Arlington County,2023-09-30,775551.2377829708,111.63,Arlington
Arlington County,2023-10-31,776031.7364539488,111.7,Arlington
Arlington County,2023-11-30,776605.1120084681,111.78,Arlington
Arlington County,2023-12-31,776840.9004213456,111.82,Arlington
Arlington County,2024-01-31,776899.1883832824,111.82,Arlington
Arlington County,2024-02-29,778805.2083585446,112.1,Arlington
Arlington County,2024-03-31,784189.1206382148,112.87,Arlington
Arlington County,2024-04-30,791305.1329110787,113.9,Arlington
Arlington County,2024-05-31,797649.4941824932,114.81,Arlington
Arlington County,2024-06-30,800948.8224823722,115.29,Arlington
Arlington County,2024-07-31,802330.0968524562,115.48,Arlington
Arlington County,2024-08-31,802609.834566349,115.52,Arlington
Arlington County,2024-09-30,804722.6002895398,115.83,Arlington
Arlington County,2024-10-31,807833.1971426929,116.28,Arlington
Arlington County,2024-11-30,811260.7025910126,116.77,Arlington
Arlington County,2024-12-31,813763.7941808928,117.13,Arlington
Arlington County,2025-01-31,815915.1786296113,117.44,Arlington
Arlington County,2025-02-28,818638.4076227854,117.83,Arlington
Arlington County,2025-03-31,820221.1181850138,118.06,Arlington
Arlington County,2025-04-30,820941.9992986319,118.16,Arlington
Arlington County,2025-05-31,819412.9310725327,117.94,Arlington
Arlington County,2025-06-30,817181.8227711016,117.62,Arlington
Arlington County,2025-07-31,814958.9955088831,117.3,Arlington
Arlington County,2025-08-31,813090.3500667689,117.03,Arlington
Arlington County,2025-09-30,812843.5738054017,117.0,Arlington
Arlington County,2025-10-31,814939.0985074018,117.3,Arlington
Arlington County,2025-11-30,818595.1178778668,117.83,Arlington
Arlington County,2025-12-31,821673.4593113934,118.27,Arlington
Fairfax County,2019-01-31,600360.2463151866,96.23,Fairfax
Fairfax County,2019-02-28,602437.1766885961,96.56,Fairfax
Fairfax County,2019-03-31,605030.3208010047,96.97,Fairfax
Fairfax County,2019-04-30,607727.6563527206,97.41,Fairfax
Fairfax County,2019-05-31,609386.9264656395,97.67,Fairfax
Fairfax County,2019-06-30,610344.6459667103,97.83,Fairfax
Fairfax County,2019-07-31,610544.6917712077,97.86,Fairfax
Fairfax County,2019-08-31,611323.2702590221,97.98,Fairfax
Fairfax County,2019-09-30,612175.4096247053,98.12,Fairfax
Fairfax County,2019-10-31,613910.971484068,98.4,Fairfax
Fairfax County,2019-11-30,616306.8096522223,98.78,Fairfax
Fairfax County,2019-12-31,619687.474565794,99.32,Fairfax
Fairfax County,2020-01-31,623907.6896225889,100.0,Fairfax
Fairfax County,2020-02-29,628309.0263576625,100.71,Fairfax
Fairfax County,2020-03-31,632533.8636980256,101.38,Fairfax
Fairfax County,2020-04-30,635843.9569867986,101.91,Fairfax
Fairfax County,2020-05-31,637319.7134800933,102.15,Fairfax
Fairfax County,2020-06-30,637343.9973686878,102.15,Fairfax
Fairfax County,2020-07-31,637257.1168911355,102.14,Fairfax
Fairfax County,2020-08-31,639960.4833022906,102.57,Fairfax
Fairfax County,2020-09-30,645887.6933973316,103.52,Fairfax
Fairfax County,2020-10-31,654092.6028657161,104.84,Fairfax
Fairfax County,2020-11-30,663099.8081080439,106.28,Fairfax
Fairfax County,2020-12-31,671282.9857183483,107.59,Fairfax
Fairfax County,2021-01-31,678235.7632589279,108.71,Fairfax
Fairfax County,2021-02-28,684924.5186571273,109.78,Fairfax
Fairfax County,2021-03-31,691850.1974332817,110.89,Fairfax
Fairfax County,2021-04-30,699608.1487985615,112.13,Fairfax
Fairfax County,2021-05-31,707502.944486284,113.4,Fairfax
Fairfax County,2021-06-30,714689.8971731929,114.55,Fairfax
Fairfax County,2021-07-31,717995.2942088362,115.08,Fairfax
Fairfax County,2021-08-31,717237.3057291883,114.96,Fairfax
Fairfax County,2021-09-30,713477.81853316,114.36,Fairfax
Fairfax County,2021-10-31,710846.7413283896,113.93,Fairfax
Fairfax County,2021-11-30,710404.177243893,113.86,Fairfax
Fairfax County,2021-12-31,713085.1071920237,114.29,Fairfax
Fairfax County,2022-01-31,719930.4205315907,115.39,Fairfax
Fairfax County,2022-02-28,731047.846473539,117.17,Fairfax
Fairfax County,2022-03-31,746213.426701425,119.6,Fairfax
Fairfax County,2022-04-30,761332.0908800401,122.03,Fairfax
Fairfax County,2022-05-31,773806.3276471893,124.03,Fairfax
Fairfax County,2022-06-30,780373.4554239705,125.08,Fairfax
Fairfax County,2022-07-31,780150.7476511424,125.04,Fairfax
Fairfax County,2022-08-31,774276.3275726921,124.1,Fairfax
Fairfax County,2022-09-30,766108.7314396731,122.79,Fairfax
Fairfax County,2022-10-31,760199.7519199031,121.84,Fairfax
Fairfax County,2022-11-30,757415.9649204335,121.4,Fairfax
Fairfax County,2022-12-31,756591.1380827011,121.27,Fairfax
Fairfax County,2023-01-31,753692.7062344953,120.8,Fairfax
Fairfax County,2023-02-28,750926.9445121291,120.36,Fairfax
Fairfax County,2023-03-31,748865.2949824522,120.03,Fairfax
Fairfax County,2023-04-30,751825.4218863304,120.5,Fairfax
Fairfax County,2023-05-31,757357.5296191501,121.39,Fairfax
Fairfax County,2023-06-30,765039.9181618304,122.62,Fairfax
Fairfax County,2023-07-31,772137.1135064622,123.76,Fairfax
Fairfax County,2023-08-31,777877.9946523322,124.68,Fairfax
Fairfax County,2023-09-30,782057.586035264,125.35,Fairfax
Fairfax County,2023-10-31,785247.5137937799,125.86,Fairfax
Fairfax County,2023-11-30,788198.7320175043,126.33,Fairfax
Fairfax County,2023-12-31,790956.9529050216,126.77,Fairfax
Fairfax County,2024-01-31,793352.3555386196,127.16,Fairfax
Fairfax County,2024-02-29,796411.3270267858,127.65,Fairfax
Fairfax County,2024-03-31,802288.4477688619,128.59,Fairfax
Fairfax County,2024-04-30,810138.3016442579,129.85,Fairfax
Fairfax County,2024-05-31,817369.6766260571,131.01,Fairfax
Fairfax County,2024-06-30,821380.8404213169,131.65,Fairfax
Fairfax County,2024-07-31,823104.5066629658,131.93,Fairfax
Fairfax County,2024-08-31,824121.7212980853,132.09,Fairfax
Fairfax County,2024-09-30,826085.178718897,132.41,Fairfax
Fairfax County,2024-10-31,829705.0981778322,132.99,Fairfax
Fairfax County,2024-11-30,834621.132052274,133.77,Fairfax
Fairfax County,2024-12-31,839758.1354291645,134.6,Fairfax
Fairfax County,2025-01-31,844007.7467149621,135.28,Fairfax
Fairfax County,2025-02-28,847485.0941232478,135.84,Fairfax
Fairfax County,2025-03-31,849273.0010160786,136.12,Fairfax
Fairfax County,2025-04-30,849664.8729171505,136.18,Fairfax
Fairfax County,2025-05-31,846781.8831629549,135.72,Fairfax
Fairfax County,2025-06-30,842505.4154704207,135.04,Fairfax
Fairfax County,2025-07-31,838416.4190326936,134.38,Fairfax
Fairfax County,2025-08-31,835984.4219609434,133.99,Fairfax
Fairfax County,2025-09-30,835602.4222233519,133.93,Fairfax
Fairfax County,2025-10-31,836715.1500751298,134.11,Fairfax
Fairfax County,2025-11-30,838762.0329067315,134.44,Fairfax
Fairfax County,2025-12-31,840601.7601148026,134.73,Fairfax
Loudoun County,2019-01-31,586492.7649337256,96.07,Loudoun
Loudoun County,2019-02-28,588281.1915746379,96.36,Loudoun
Loudoun County,2019-03-31,590885.6943399282,96.79,Loudoun
Loudoun County,2019-04-30,593721.0312137611,97.25,Loudoun
Loudoun County,2019-05-31,595723.4609929473,97.58,Loudoun
Loudoun County,2019-06-30,597061.611169921,97.8,Loudoun
Loudoun County,2019-07-31,597870.1102779346,97.93,Loudoun
Loudoun County,2019-08-31,598913.3487682986,98.1,Loudoun
Loudoun County,2019-09-30,600221.0829121303,98.32,Loudoun
Loudoun County,2019-10-31,602160.8251279015,98.63,Loudoun
